plant_common_name,plant_family,plant_scientific_name
Narrowleaf Evening Primrose,Onagraceae,Oenothera fruticosa L. ssp. fruticosa
Slenderstalk Beeblossom,Onagraceae,Gaura filipes Spach
Desert Ceanothus,Rhamnaceae,Ceanothus greggii A. Gray var. franklinii S.L. Welsh
South African Oatgrass,Poaceae,Karroochloa Conert & Türpe
Bermuda Buttercup,Oxalidaceae,Oxalis pes-caprae L.
Subalpine Cryptantha,Boraginaceae,Cryptantha crymophila I.M. Johnst.
Entirewing Bristle Fern,Hymenophyllaceae,Trichomanes holopterum Kunze
Goldenrain Tree,Sapindaceae,Koelreuteria paniculata Laxm.
Florida Keys Blackbead,Fabaceae,Pithecellobium keyense Britton ex Britton & Rose
Rocky Mountain Nailwort,Caryophyllaceae,Paronychia pulvinata A. Gray
Smallflower Bruguiera,Rhizophoraceae,Bruguiera parviflora (Roxb.) Wight & Arn. ex Griffith
Sandwort Cetraria Lichen,Parmeliaceae,Cetraria arenaria Karnefelt
Egg Milkvetch,Fabaceae,Astragalus oophorus S. Watson var. lonchocalyx Barneby
Smooth Blue Aster,Asteraceae,Symphyotrichum laeve (L.) Á. Löve & D. Löve
Shield Lichen,Parmeliaceae,Parmelia fertilis Müll. Arg.
Canyon Dodder,Cuscutaceae,Cuscuta ceanothi Behr
Littleleaf Rockcress,Brassicaceae,Arabis microphylla Nutt. var. microphylla
Snakemouth Orchid,Orchidaceae,Pogonia ophioglossoides (L.) Ker Gawl.
Smooth Purple Coneflower,Asteraceae,Echinacea laevigata (C.L. Boynt. & Beadle) S.F. Blake
Chinese Ephedra,Ephedraceae,Ephedra sinica Stapf
Downy Ragged Goldenrod,Asteraceae,Solidago petiolaris Aiton
Goosefoot Moonpod,Nyctaginaceae,Ammocodon chenopodioides (A. Gray) Standl.
Manzanita,Ericaceae,Arctostaphylos ×coloradensis Rollins (pro sp.)
Beautiful Rockcress,Brassicaceae,Arabis pulchra M.E. Jones ex S. Watson var. pallens M.E. Jones
Horseshoe Vetch,Fabaceae,Hippocrepis comosa L.
Brewer's Fleabane,Asteraceae,Erigeron breweri A. Gray var. breweri
Andersson's Arctoa Moss,Dicranaceae,Arctoa anderssonii Wich.
Western Australian Floodedgum,Myrtaceae,Eucalyptus rudis Endl.
Lewis' Buckwheat,Polygonaceae,Eriogonum lewisii Reveal
Oak,Fagaceae,Quercus L.
Grimmia Dry Rock Moss,Grimmiaceae,Grimmia anomala Hampe ex Schimp.
Pseudocrossidium Moss,Pottiaceae,Pseudocrossidium R.S. Williams
Longstalk Starwort,Caryophyllaceae,Stellaria longipes Goldie
Sand Pygmyweed,Crassulaceae,Crassula connata (Ruiz & Pav.) A. Berger var. connata
Sierra Mock Stonecrop,Crassulaceae,Sedella pumila (Benth.) Britton & Rose
Broadbeard Beardtongue,Scrophulariaceae,Penstemon angustifolius Nutt. ex Pursh var. venosus (D.D. Keck) N.H. Holmgren
Yavapai County Buckwheat,Polygonaceae,Eriogonum ericifolium Torr. & A. Gray var. ericifolium
Sydney Peppermint-tree,Myrtaceae,Eucalyptus piperita Sm.
Silk-cotton Tree,Bixaceae,Cochlospermum religiosum (L.) Alston
Southern Bayberry,Myricaceae,Morella caroliniensis (Mill.) Small
Toddy Palm,Arecaceae,Borassus flabellifer L. [excluded]
Corkwood,Leitneriaceae,Leitneria Chapm.
Tapered Cudweed,Asteraceae,Pseudognaphalium attenuatum (DC.) Anderb.
Slender Passionflower,Passifloraceae,Passiflora filipes Benth.
Batwing Fern,Dennstaedtiaceae,Histiopteris incisa (Thunb.) J. Sm.
Grassleaf Spurge,Euphorbiaceae,Euphorbia graminea Jacq.
Lindley's Clerodendrum,Verbenaceae,Clerodendrum lindleyi Decne.
Forked Cinquefoil,Rosaceae,Potentilla furcata A.E. Porsild
Pyrenopsis Lichen,Lichinaceae,Pyrenopsis (Nyl.) Nyl.
Hinahina,Geraniaceae,Geranium cuneatum Hook. var. hypoleucum A. Gray
Pineland Rayless Goldenrod,Asteraceae,Bigelowia nudata (Michx.) DC. ssp. australis L.C. Anderson
Gray's Bedstraw,Rubiaceae,Galium grayanum Ehrend.
Felwort,Gentianaceae,Swertia L.
Roccellina Lichen,Roccellaceae,Roccellina Darbish.
Smooth White Oldfield Aster,Asteraceae,Symphyotrichum racemosum (Elliott) G.L. Nesom
Shield Lichen,Physciaceae,Heterodermia squamulosa (Degel.) W.L. Culb.
Inland Muilla,Liliaceae,Muilla transmontana Greene
Goldenhead,Asteraceae,Acamptopappus (A. Gray) A. Gray
Jensen's Polytrichum Moss,Polytrichaceae,Polytrichum commune Hedw. var. jensenii (I. Hagen) Mönk.
Cunninghamia,Cupressaceae,Cunninghamia R. Br.
Threeleaf Cayratia,Vitaceae,Cayratia trifolia (L.) Domin
Parsley Spleenwort,Aspleniaceae,Asplenium cristatum Lam.
Orange Lichen,Teloschistaceae,Caloplaca ammiospila (Wahlenb.) H. Olivier
Chaparral False Bindweed,Convolvulaceae,Calystegia occidentalis (A. Gray) Brummitt ssp. occidentalis var. occidentalis
Caribbean Strap Airplant,Bromeliaceae,Catopsis nitida (Hook.) Griseb.
Waterplantain Buttercup,Ranunculaceae,Ranunculus alismifolius Geyer ex Benth. var. montanus S. Watson
Pickering's Dawnflower,Convolvulaceae,Stylisma pickeringii (Torr. ex M.A. Curtis) A. Gray var. pickeringii
California Satintail,Poaceae,Imperata brevifolia Vasey
Common Restharrow,Fabaceae,Ononis repens L.
Rocky Mountain Goldenrod,Asteraceae,Solidago multiradiata Aiton var. multiradiata
Ornduff's Meadowfoam,Limnanthaceae,Limnanthes douglasii R. Br. ssp. ornduffii E.G. Buxton
Pine Barren Stitchwort,Caryophyllaceae,Minuartia caroliniana (Walter) Mattf.
Lesser Saltscale,Chenopodiaceae,Atriplex minuscula Standl.
Longsac Penstemon,Scrophulariaceae,Penstemon eriantherus Pursh var. redactus Pennell & D.D. Keck
Longbract Wild Indigo,Fabaceae,Baptisia bracteata Muhl. ex Elliott var. laevicaulis (A. Gray ex Canby) Isely
Ferris' Milkvetch,Fabaceae,Astragalus tener A. Gray var. ferrisiae A. Liston
Illinois Horse-gentian,Caprifoliaceae,Triosteum aurantiacum E.P. Bicknell var. illinoense (Wiegand) Palmer & Steyerm.
Neches River Rosemallow,Malvaceae,Hibiscus dasycalyx S.F. Blake & Shiller
Sclerocarya,Anacardiaceae,Sclerocarya Hochst.
Pitseed Goosefoot,Chenopodiaceae,Chenopodium berlandieri Moq. var. boscianum (Moq.) Wahl
Shrubby Cinquefoil,Rosaceae,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz
Water-willow,Acanthaceae,Justicia L.
Prairie Willow,Salicaceae,Salix humilis Marshall var. humilis
Macoun's False Bindweed,Convolvulaceae,Calystegia macounii (Greene) Brummitt
Maxon's Tonguefern,Dryopteridaceae,Elaphoglossum maxonii Underw. ex Morton
White Tackstem,Asteraceae,Calycoseris wrightii A. Gray
Bread And Cheese,Sapindaceae,Paullinia pinnata L.
Cobwebby Wild Indigo,Fabaceae,Baptisia arachnifera Duncan
Distichium Moss,Ditrichaceae,Distichium capillaceum (Hedw.) Bruch & Schimp.
Whip Nutrush,Cyperaceae,Scleria triglomerata Michx.
Largeleaf Sphagnum,Sphagnaceae,Sphagnum macrophyllum Brid.
Lepianthes,Piperaceae,Lepianthes Raf.
Watermilfoil,Haloragaceae,Myriophyllum L.
Solorinella Lichen,Solorinellaceae,Solorinella Anzi
Mauna Kea Phyllostegia,Lamiaceae,Phyllostegia brevidens A. Gray
English Sundew,Droseraceae,Drosera anglica Huds.
Asian Spiderflower,Capparaceae,Cleome viscosa L.
Uniola Flatsedge,Cyperaceae,Cyperus unioloides R. Br.
West Indian Beaksedge,Cyperaceae,Rhynchospora brachychaeta C. Wright
Rimmed Lichen,Hymeneliaceae,Aspicilia contigua (Lynge) J.W. Thomson
Gander's Ragwort,Asteraceae,Packera ganderi (T.M. Barkley & R.M. Beauch.) W.A. Weber & Á. Löve
Sandcarpet,Caryophyllaceae,Cardionema ramosissimum (Weinm.) A. Nelson & J.F. Macbr.
Medicine Vine,Hippocrateaceae,Hippocratea volubilis L.
Bristly Buttercup,Ranunculaceae,Ranunculus hispidus Michx. var. nitidus (Chapm.) T. Duncan
Giant Yarrow,Asteraceae,Achillea millefolium L. var. gigantea (Pollard) Nobs
Threadleaf False Foxglove,Scrophulariaceae,Agalinis setacea (J.F. Gmel.) Raf.
Horseradish,Brassicaceae,"Armoracia rusticana G. Gaertn., B. Mey. & Scherb."
Maroonspot Calicoflower,Campanulaceae,Downingia concolor Greene var. tricolor (Greene) Jeps.
Sedge,Cyperaceae,Carex ×neomiliaris Lepage
False Rosemary,Lamiaceae,Conradina canescens (Torr. & A. Gray ex Benth.) A. Gray
Needle Lichen,Coniocybaceae,Chaenotheca chlorella (Ach.) Müll. Arg.
Warnstorfia Moss,Amblystegiaceae,Warnstorfia procera (Renauld & Arnell) Tuom. & T. Kop.
Pricklypear,Cactaceae,Opuntia Mill.
Pale False Mannagrass,Poaceae,Torreyochloa pallida (Torr.) Church var. pallida
Separateleaf Chickensage,Asteraceae,Sphaeromeria diversifolia (D.C. Eaton) Rydb.
Creeper,Vitaceae,Parthenocissus Planch.
Pulvinate Thyrea Lichen,Lichinaceae,Thyrea pulvinata (Schaerer) A. Massal.
Goosefoot,Chenopodiaceae,Chenopodium ×variabile Aellen
Lecanora Lichenoconium Lichen,Uncertain Ascomycota Family,Lichenoconium lecanorae (Jaap) D. Hawksw.
Little Rose,Rosaceae,Chamaerhodos erecta (L.) Bunge
Kennedy's Buckwheat,Polygonaceae,Eriogonum kennedyi Porter ex S. Watson
Corn,Poaceae,Zea mays L. ssp. parviglumis Iltis & Doebley
Smallfruit Agrimony,Rosaceae,Agrimonia microcarpa Wallr.
White Velvetleaf,Malvaceae,Wissadula periplocifolia (L.) C. Presl ex Thwaites
Smallhead Heathgoldenrod,Asteraceae,Tonestus microcephalus (Cronquist) G.L. Nesom & D. Morgan
Italian Catchfly,Caryophyllaceae,Silene italica (L.) Pers.
Inyo County Star-tulip,Liliaceae,Calochortus excavatus Greene
Saltmarsh False Foxglove,Scrophulariaceae,Agalinis maritima (Raf.) Raf. var. maritima
Musky Stork's Bill,Geraniaceae,Erodium moschatum (L.) L'Hér. ex Aiton var. praecox Lange
Cloudswept Colicwood,Myrsinaceae,Myrsine juddii Hosaka
White Hogwood,Melastomataceae,Sagraea umbrosa (Sw.) DC.
Cynosciadium,Apiaceae,Cynosciadium DC.
Silverpuffs,Asteraceae,Microseris D. Don
Malabar Nut,Acanthaceae,Justicia adhatoda L.
Campylopus Moss,Dicranaceae,Campylopus flexuosus (Hedw.) Brid.
Nuttall's Sunflower,Asteraceae,Helianthus nuttallii Torr. & A. Gray ssp. nuttallii
Little Spleenwort,Aspleniaceae,Asplenium exiguum Bedd.
Longspur Columbine,Ranunculaceae,Aquilegia longissima A. Gray
Showy Alpine Ragwort,Asteraceae,Senecio amplectens A. Gray
Tissue Sedge,Cyperaceae,Carex hyalina Boott
Tetrodontium Moss,Tetraphidaceae,Tetrodontium Schwägr.
Brown Dogwood,Cornaceae,Cornus glabrata Benth.
Weber's Century Plant,Agavaceae,Agave weberi Cels ex Poisson
Desert Willow,Bignoniaceae,Chilopsis linearis (Cav.) Sweet
Crucifixion Thorn,Simaroubaceae,Castela emoryi (A. Gray) Moran & Felger
Allen's Pentachaeta,Asteraceae,Pentachaeta aurea Nutt. ssp. allenii D.J. Keil
Red Manjack,Boraginaceae,Cordia collococca L.
Netleaf Willow,Salicaceae,Salix reticulata L.
Wulf's Sphagnum,Sphagnaceae,Sphagnum wulfianum Girg.
Navajo Fleabane,Asteraceae,Erigeron concinnus (Hook. & Arn.) Torr. & A. Gray var. subglaber (Cronquist) G.L. Nesom
Sierra Fumewort,Fumariaceae,Corydalis caseana A. Gray ssp. hastata (Rydb.) G.B. Ownbey
Quickstick,Fabaceae,Gliricidia sepium (Jacq.) Kunth ex Walp.
Denseleaf Draba,Brassicaceae,Draba densifolia Nutt.
Arizona Nettlespurge,Euphorbiaceae,Jatropha cinerea (Ortega) Müll. Arg.
Openground Dewberry,Rosaceae,Rubus furtivus L.H. Bailey
Threadstem Sandmat,Euphorbiaceae,Chamaesyce revoluta (Engelm.) Small
Stalked Maidenhair,Pteridaceae,Adiantum petiolatum Desv.
Earthsmoke,Fumariaceae,Fumaria vaillantii Loisel.
Waltheria,Sterculiaceae,Waltheria L.
Pyrenopsis Lichen,Lichinaceae,Pyrenopsis haemalella (Nyl.) Blomb. & Forss.
Geranium,Geraniaceae,Geranium L.
Chaenothecopsis Lichen,Mycocaliciaceae,Chaenothecopsis debilis (Turner & Borrer ex Sm.) Tibell
Grassleaf Lettuce,Asteraceae,Lactuca graminifolia Michx.
Chrysobalanus,Chrysobalanaceae,Chrysobalanus L.
Rancheria Clover,Fabaceae,Trifolium albopurpureum Torr. & A. Gray
Wild Comfrey,Boraginaceae,Cynoglossum virginianum L.
Pringle's Bluegrass,Poaceae,Poa pringlei Scribn.
Nodding Rockcress,Brassicaceae,Arabis demissa Greene var. languida Rollins
Bridal Bouquet,Convolvulaceae,Poranopsis paniculata (Roxb.) Roberty
Cyamopsis,Fabaceae,Cyamopsis DC.
Butterwick's Starviolet,Rubiaceae,Stenaria butterwickiae (Terrell) Terrell
Roundleaf Bluet,Rubiaceae,Houstonia procumbens (Walter ex J.F. Gmel.) Standl.
Maritime Saltbush,Chenopodiaceae,Atriplex glabriuscula Edmondston var. acadiensis (Taschereau) S.L. Welsh
Fernleaf Yellow False Foxglove,Scrophulariaceae,Aureolaria pedicularia (L.) Raf. var. austromontana Pennell
American Century Plant,Agavaceae,Agave americana L. ssp. americana var. expansa (Jacobi) Gentry
Hairy Waterclover,Marsileaceae,Marsilea vestita Hook. & Grev.
Palespike Lobelia,Campanulaceae,Lobelia spicata Lam. var. spicata
Passionflower,Passifloraceae,Passiflora L.
Golden Chain Tree,Fabaceae,Laburnum ×watereri (Wettst.) Dippel
Yerba Parrera,Gesneriaceae,Gesneria cuneifolia (DC.) Fritsch
Whitestem Goldenbush,Asteraceae,Ericameria discoidea (Nutt.) G.L. Nesom
Leadplant,Fabaceae,Amorpha canescens Pursh
Hassler's Alternanthera,Amaranthaceae,Alternanthera hassleriana Chodat ex Chodat & Hassler
Yellow-cedar,Rubiaceae,Palicourea croceoides Ham.
Yellow Necklacepod,Fabaceae,Sophora tomentosa L. var. occidentalis (L.) Isely
Rio Grande Sedge,Cyperaceae,Cyperus floribundus (Kük.) Carter & Jones
Parasite Rinodina Lichen,Physciaceae,Rinodina parasitica H. Mayrh. & Poelt
Plantain Goldenweed,Asteraceae,Pyrrocoma uniflora (Hook.) Greene var. gossypina (Greene) Kartesz & Gandhi
Prairie Blazing Star,Asteraceae,Liatris pycnostachya Michx. var. lasiophylla Shinners
Crossidium Moss,Pottiaceae,Crossidium aberrans Holz. & E.B. Bartram
Simple Campion,Caryophyllaceae,Silene scouleri Hook. ssp. pringlei (S. Watson) C.L. Hitchc. & Maguire var. leptophylla C.L. Hitchc. & Maguire
Heartleaf Skullcap,Lamiaceae,Scutellaria ovata Hill ssp. bracteata (Benth.) Epling
Lau Lihilihi,Caryophyllaceae,Schiedea stellarioides H. Mann
Longleaf Plume Fern,Blechnaceae,Sadleria souleyetiana (Gaudich.) T. Moore
Smallseed Pygmyweed,Crassulaceae,Crassula longipes (Rose) Bywater & Wickens
Arrow Bamboo,Poaceae,Pseudosasa Makino ex Nakai
Cutleaf Bur Cucumber,Cucurbitaceae,Sicyos laciniatus L.
Sanddune Wallflower,Brassicaceae,Erysimum capitatum (Douglas ex Hook.) Greene var. capitatum
Algarrobo Blanco,Fabaceae,Prosopis alba Griseb.
San Bernardino Mountains Liveforever,Crassulaceae,Dudleya abramsii Rose ssp. affinis K.M. Nakai
Hybrid Sugar Maple,Aceraceae,Acer leucoderme × saccharum [unnamed hybrid]
Downy Desert-thorn,Solanaceae,Lycium puberulum A. Gray var. puberulum
Leucolepis Umbrella Moss,Mniaceae,Leucolepis acanthoneuron (Schwägr.) Lindb.
Texas Stork's Bill,Geraniaceae,Erodium texanum A. Gray
Jesup's Milkvetch,Fabaceae,Astragalus robbinsii (Oakes) A. Gray var. jesupii Eggl. & Sheldon
Fringed Orchid,Orchidaceae,Platanthera ×channellii J.P. Folsom
Sierra Saxifrage,Saxifragaceae,Saxifraga aprica Greene
Grapeleaf Geranium,Geraniaceae,Pelargonium vitifolium (L.) L'Hér. ex Aiton
Phloxleaf Bedstraw,Rubiaceae,Galium andrewsii A. Gray
Mexican Alvaradoa,Simaroubaceae,Alvaradoa amorphoides Liebm.
Xylosma,Flacourtiaceae,Xylosma G. Forst.
Northern Hawthorn,Rosaceae,Crataegus dissona Sarg.
Lewis River Suncup,Onagraceae,Camissonia parvula (Nutt. ex Torr. & A. Gray) P.H. Raven
Cup Lichen,Cladoniaceae,Cladonia crispata (Ach.) Flotow
Dot Lichen,Micareaceae,Micarea prasina Fr.
Nylon Hedgehog Cactus,Cactaceae,Echinocereus viridiflorus Engelm.
Prairie Crab Apple,Rosaceae,Malus ioensis (Alph. Wood) Britton
Hepburn's Sedge,Cyperaceae,Carex nardina Fr. var. hepburnii (Boott) Kük.
Willow Cyanea,Campanulaceae,Cyanea salicina H. Lév.
Cindercone Isodendrion,Violaceae,Isodendrion hosakae H. St. John
Paddo Rockcress,Brassicaceae,Arabis lemmonii S. Watson var. paddoensis Rollins
Arrow Bamboo,Poaceae,Pseudosasa japonica (Siebold & Zucc. ex Steud.) Makino ex Nakai
Karanda,Apocynaceae,Carissa carandas L. [excluded]
Raspwort,Haloragaceae,Gonocarpus Thunb.
Utah Penstemon,Scrophulariaceae,Penstemon utahensis Eastw.
Big Blue Birch,Betulaceae,Betula ×caerulea Blanch. var. grandis Blanch. (pro nm.)
Schisandra,Schisandraceae,Schisandra Michx.
Mono Hot Springs Evening Primrose,Onagraceae,Camissonia sierrae P.H. Raven ssp. alticola P.H. Raven
Wetherill's Milkvetch,Fabaceae,Astragalus wetherillii M.E. Jones
Rim Lichen,Lecanoraceae,Lecanora fuscidula Degel.
Palo De Cera,Myricaceae,Morella holdridgeana (Lundell) Kartesz
Oneseed Bur Cucumber,Cucurbitaceae,Sicyos angulatus L.
South American Saltbush,Chenopodiaceae,Atriplex lampa Gillies ex Moq.
Cap Lichen,Baeomycetaceae,Baeomyces carneus Flörke
Texas Beeblossom,Onagraceae,Gaura calcicola P.H. Raven & Gregory
Golden Suncup,Onagraceae,Camissonia brevipes (A. Gray) P.H. Raven ssp. arizonica (P.H. Raven) P.H. Raven
Macdougal Verbena,Verbenaceae,Verbena macdougalii A. Heller
Winged False Buttonweed,Rubiaceae,Spermacoce alata Aubl. [excluded]
Tropical Whitetop,Cyperaceae,Rhynchospora radicans (Schltdl. & Cham.) H. Pfeifer ssp. microcephala (Bertero ex Spreng.) W.W. Thomas
Whorled Lousewort,Scrophulariaceae,Pedicularis verticillata L.
Spiked Broomrape,Orobanchaceae,Orobanche multicaulis Brandegee
Scale Edge Bristle Fern,Hymenophyllaceae,Trichomanes membranaceum L.
Poppymallow,Malvaceae,Callirhoe Nutt.
Mueller's Saltbush,Chenopodiaceae,Atriplex muelleri Benth.
Pitaya,Cactaceae,Echinocereus enneacanthus Engelm. var. enneacanthus
Purpleanther Field Pepperweed,Brassicaceae,Lepidium heterophyllum Benth.
Little Bluestem,Poaceae,Schizachyrium scoparium (Michx.) Nash var. divergens (Hack.) Gould
Slender Woolly Buckwheat,Polygonaceae,Eriogonum gracile Benth. var. gracile
Roell's Moss,Bryaceae,Roellia roellii (Broth.) Andrews ex H.A. Crum
Shasta County Arnica,Asteraceae,Arnica venosa H.M. Hall
Chilean Ricegrass,Poaceae,Achnatherum caudatum (Trin.) S.L.W. Jacobs & J. Everett
Calymperes Moss,Calymperaceae,Calymperes erosum Müll. Hal.
Leafy Heliotrope,Boraginaceae,Heliotropium confertifolium (Torr.) Torr. ex A. Gray
Evelyn Keteleeria,Pinaceae,Keteleeria evelyniana Mast.
Schistidium Moss,Grimmiaceae,Schistidium cinclidodonteum (Müll. Hal.) Bremer
Silky Jackbean,Fabaceae,Canavalia sericea A. Gray
Koolau Range Delissea,Campanulaceae,Delissea subcordata Gaudich.
Southwestern Bedstraw,Rubiaceae,Galium virgatum Nutt.
Kou,Boraginaceae,Cordia subcordata Lam.
Maui Hau Kuahiwi,Malvaceae,Hibiscadelphus wilderianus Rock
Washington Lily,Liliaceae,Lilium washingtonianum Kellogg
Western Bluegrass,Poaceae,Poa suksdorfii (Beal) Vasey ex Piper
Eastern Featherbells,Liliaceae,Stenanthium gramineum (Ker Gawl.) Morong
Broadleaved Pepperweed,Brassicaceae,Lepidium latifolium L.
Combleaf Mermaidweed,Haloragaceae,Proserpinaca pectinata Lam.
Woodland Ragwort,Asteraceae,Senecio sylvaticus L.
Island False Bindweed,Convolvulaceae,Calystegia macrostegia (Greene) Brummitt ssp. arida (Greene) Brummitt
Kiaerskov's Lidflower,Myrtaceae,Calyptranthes kiaerskovii Krug & Urb. [excluded]
Hypotrachyna Lichen,Parmeliaceae,Hypotrachyna laevigata (Sm.) Hale
Swamp Boreal-daisy,Asteraceae,Erigeron elatus (Hook.) Greene
Lecidea Lichen,Lecideaceae,Lecidea deminutula H. Magn.
Jesup's Hawthorn,Rosaceae,Crataegus jesupii Sarg.
Sierra Springbeauty,Portulacaceae,Claytonia nevadensis S. Watson
Skin Lichen,Collemataceae,Leptogium rivale Tuck.
San Diego Spineflower,Polygonaceae,Chorizanthe orcuttiana Parry
Vavilov's Wheat,Poaceae,Triticum vavilovii Jakubz.
Olapalapa,Araliaceae,Cheirodendron trigynum (Gaudich.) A. Heller ssp. trigynum
Striped Cream Violet,Violaceae,Viola striata Aiton
San Rafael Milkvetch,Fabaceae,Astragalus rafaelensis M.E. Jones
Peacocksplume,Fabaceae,Falcataria moluccana (Miq.) Barneby & Grimes
Bog Hair Grass,Poaceae,Deschampsia setacea (Huds.) Hack.
Prairie Cupgrass,Poaceae,Eriochloa contracta Hitchc.
Colorado Cinquefoil,Rosaceae,Potentilla subjuga Rydb.
Sweet Mock Orange,Hydrangeaceae,Philadelphus coronarius L.
Small Prescott Orchid,Orchidaceae,Prescotia oligantha (Sw.) Lindl.
Bolander's Peltula Lichen,Peltulaceae,Peltula bolanderi (Tuck.) Wetmore
Gale Of The Wind,Euphorbiaceae,Phyllanthus niruri L.
Pygmy Physcomitrium Moss,Funariaceae,Physcomitrium pygmaeum James
Welsh's Cryptantha,Boraginaceae,Cryptantha welshii Thorne & Higgins
Beach Starwort,Caryophyllaceae,Stellaria littoralis Torr.
Cuero De Rana,Flacourtiaceae,Laetia procera (Poepp.) Eichl.
Woollyleaf Manzanita,Ericaceae,Arctostaphylos tomentosa (Pursh) Lindl. ssp. eastwoodiana P.V. Wells
Manzanita,Ericaceae,Arctostaphylos ×benitoensis J.B. Roof (pro sp.)
Roughhair Rosette Grass,Poaceae,Dichanthelium strigosum (Muhl. ex Elliott) Freckmann
Molybdenum Cracked Lichen,Acarosporaceae,Acarospora molybdina (Wahlenb.) Trevis.
Littleleaf Linden,Tiliaceae,Tilia cordata Mill.
Mixed Jointfir,Ephedraceae,Ephedra ×intermixta Cutler
Salinas Milkvetch,Fabaceae,Astragalus macrodon (Hook. & Arn.) A. Gray
Davis' Milkweed,Asclepiadaceae,Asclepias cryptoceras S. Watson ssp. davisii (Woodson) Woodson
Rose Scented Geranium,Geraniaceae,Pelargonium capitatum (L.) L'Hér. ex Aiton
Globe Dodder,Cuscutaceae,Cuscuta potosina Schaffn.
Arizona Beard Lichen,Parmeliaceae,Usnea arizonica Mot.
Horsebush,Fabaceae,Peltophorum dubia (Spreng.) Taubert
Spreading Buckwheat,Polygonaceae,Eriogonum effusum Nutt.
Pyxine Lichen,Physciaceae,Pyxine petricola Nyl.
Baker's Stickyseed,Asteraceae,Blennosperma bakeri Heiser
Buxbaumia Moss,Buxbaumiaceae,Buxbaumia viridis (DC.) Moug. & Nestl.
Fourangle Flatsedge,Cyperaceae,Cyperus tetragonus Elliott
Willowleaf Aster,Asteraceae,Symphyotrichum praealtum (Poir.) G.L. Nesom
Catchbirdtree,Nyctaginaceae,Pisonia L.
Curved Woodrush,Juncaceae,Luzula arcuata (Wahlenb.) Sw.
Spreading Yellowcress,Brassicaceae,Rorippa sinuata (Nutt.) Hitchc.
Japanese Ulota Moss,Orthotrichaceae,Ulota japonica (Sull. & Lesq.) Mitt.
Grassflower,Gesneriaceae,Gesneria viridiflora (Decne.) Kuntze ssp. sintenisii (Urb.) L. Skog
Hong Kong Kumquat,Rutaceae,Fortunella hindsii (Champ. ex Benth.) Swingle
Colorado Rush,Juncaceae,Juncus confusus Coville
Heartleaf Twayblade,Orchidaceae,Listera cordata (L.) R. Br. var. nephrophylla (Rydb.) Hultén
Crimson Bluestem,Poaceae,Schizachyrium sanguineum (Retz.) Alston
White River Beardtongue,Scrophulariaceae,Penstemon scariosus Pennell var. scariosus
Douglas' Silverpuffs,Asteraceae,Microseris douglasii (DC.) Sch. Bip. ssp. douglasii
Disc Lichen,Physciaceae,Buellia vilis Th. Fr.
Texas Swampprivet,Oleaceae,Forestiera angustifolia Torr.
Elf Orpine,Crassulaceae,Diamorpha smallii Britton ex Small
Manyflowered Aster,Asteraceae,Symphyotrichum ericoides (L.) G.L. Nesom var. pansum (S.F. Blake) G.L. Nesom
